Title,Views,Posted
🎧Oda al día Feliz -Pablo Neruda en la voz de Mindful Science/Mindfulness,14 k vistas,hace 1 año
DEJA ATRÁS las tensiones y el estrés~MÚSICA ULTRA RELAJANTE Relajación y equilibrio~SPA EN CASA~,12 k vistas,hace 1 mes
"🎧Healing Music: MÚSICA PARA MEDITAR/Music to reduce stress, music to connect with your peace 🌾",11 k vistas,hace 1 año
"ESCUCHAR POEMAS DESPEJA LA MENTE Y SANA EL ALMA ~El Hachero, Isabel Nieto Grando~Mindful Science",11 k vistas,hace 11 meses
⏰ TU EXISTENCIA IMPORTA 📣Mindfulness~ Mindful Science #inspiraaotros,11 k vistas,hace 5 meses
🎧EL SECRETO DEL EQUILIBRIO: Encuentra Paz y Tranquilidad con Nuestra Música Relajante-Mindfulness-,11 k vistas,hace 3 meses
🎧EL PODER DEL DESCANSO: Sumérgete en un Sueño Profundo con Nuestra Música Relajante-Mindful Science-,10 k vistas,hace 2 meses
Música Para Relajar cuerpo y Mente~Claudio Ortenzi para Mindful Science,10 k vistas,hace 2 meses
Gratitud,9.5 K vistas,hace 10 meses
PARA DORMIR: Relaja tu cuerpo y mente~Música: Leo Palacios para Mindful Science~ Mindfulness,9.4 K vistas,hace 2 meses
👉MEJORA TU CONCENTRACIÓN con sencilla práctica- Saboreando una PASA DE UVA~Meditación Mindfulness~,9.3 K vistas,hace 2 meses
Paz interior música/Inner peace music ~ Leo Palacios para Mindful Science,8.8 K vistas,hace 3 meses
Sintoniza tu Mente y Cuerpo con Nuestra Exquisita Selección de Música Relajante,7.9 K vistas,hace 2 meses
COMIENZA EL DÍA con PAZ Y OPTIMISMO ~SPA EN CASA ~Música para la Mañana~ Mindfulness,7.9 K vistas,hace 3 semanas
HAZ ESTO CADA MAÑANA 💪Ponte en forma siguiendo estos EJERCICIOS DE ATENCIÓN PLENA~ Mindfulness,7.6 K vistas,hace 3 semanas
COMIENZA TU DÍA con Tranquilidad | SPA EN CASA | Música relajante/ Sebastian Benito~Mindful Science~,7.1 K vistas,hace 1 mes
Mindful Science: emociones positivas | Sesión en vivo con la Lic. Cecilia Tomalino.,7 K vistas,hace 2 años
🎧Healing Music: Music to release the sorrows of the heart- Mindful Science- Leo palacios,6.9 K vistas,hace 5 meses
🎧DEL CAOS A LA CALMA-SPA EN CASA- Música para eliminar el estrés y lograr BIENESTAR~Mindful Science~,6.9 K vistas,hace 1 mes
"Todo lo que nos rodea, sentimos y, nuestro mundo interior está lleno de felicidad.",6.7 K vistas,hace 9 meses
💪Descubre cómo el ejercicio consciente puede transformar tu bienestar físico y mental~Atención Plena,6.7 K vistas,hace 1 mes
BUENAS VIBRAS PARA COMENZAR EL DÍA~Música relajante para liberar tensiones ~SPA EN CASA~ Mindfulness,6.4 K vistas,hace 2 semanas
💪MINDFUL-FITNESS #4: Ponte en forma siguiendo estos ejercicios de Atención Plena en Mindful Science,5.2 K vistas,hace 4 semanas
Entendiendo la Mente Dual y la No-Dualidad en Mindfulness| Clase completa~Dr. Miguel Ibañez Ramos~,5 K vistas,hace 1 mes
💪 Ponte en forma siguiendo estos ejercicios de Atención Plena ~Mindful Science~,4.8 K vistas,hace 1 mes
Higiene Mental | 6 de Mayo 2020 | Lic. Cecilia Tomalino para Mindful Science,4.4 K vistas,hace 3 años
"MASTER CLASS: MINDFULNESS y Consciencia, su influencia en la experiencia humana/Miguel Ibañez Ramos~",4.4 K vistas,hace 1 mes
💪Aprende a disfrutar del ejercicio de una manera completamente nueva ~Mindful Fitness~,4.2 K vistas,hace 1 mes
¡ÚNETE A NUESTRA COMUNIDAD DE MEDITADORES!,4 K vistas,hace 5 meses
💪MINDFUL-FITNESS: Ponte en forma siguiendo estos ejercicios de Atención Plena en Mindful Science~,4 K vistas,hace 9 días
🎧 DISFRUTA DE UNA EXPERIENCIA RELAJANTE- MÚSICA PARA CALMAR TU MENTE Y CUERPO~ MINDFUL SCIENCE~,4 K vistas,hace 10 días
💪MINDFUL-FITNESS #6: Ponte en forma siguiendo estos ejercicios de Atención Plena en Mindful Science,3.4 K vistas,hace 2 semanas
💪MINDFUL-FITNESS #2 : Ponte en forma siguiendo estos ejercicios de Atención Plena con Wilson Ortenzi,3.3 K vistas,hace 2 semanas
Mindfulness Podcast~Mindful Science,2 K vistas,hace 9 días
Meditación Guiada: Práctica de GRATITUD para comenzar el día con CALMA Y OPTIMISMO~ Mindfulness~,5.8 K vistas,hace 23 horas
